indicator_id,name_fr,definition_fr,unit,theme,geographic_floor,sentence_template_id,higher_is_better
population_totale,Population totale,"Nombre total d'habitants dénombrés (recensement) ou estimés pour cette entité géographique.",habitants,population,prefecture,population_totale_lieu,
prix_ihpc_global,Indice des prix à la consommation (IHPC),"Indice harmonisé des prix à la consommation, toutes fonctions COICOP confondues, base 2019.",indice,prix,pays,prix_ihpc_global_pays,
acces_electricite,Accès à l'électricité,"Part de la population ayant accès à l'électricité.",%,infrastructures,pays,acces_electricite_pays,true
taux_achevement_primaire,Taux d'achèvement du primaire,"Part d'une cohorte d'âge ayant achevé le cycle d'enseignement primaire, tous sexes confondus.",%,education,pays,taux_achevement_primaire_pays,true
taux_achevement_secondaire_1er_cycle,Taux d'achèvement du premier cycle du secondaire,"Part d'une cohorte d'âge ayant achevé le premier cycle de l'enseignement secondaire (collège), tous sexes confondus.",%,education,pays,taux_achevement_secondaire_1er_cycle_pays,true
taux_achevement_secondaire_2nd_cycle,Taux d'achèvement du second cycle du secondaire,"Part d'une cohorte d'âge ayant achevé le second cycle de l'enseignement secondaire (lycée), tous sexes confondus.",%,education,pays,taux_achevement_secondaire_2nd_cycle_pays,true
taux_scolarisation_brut_primaire,"Taux brut de scolarisation, primaire","Effectifs scolarisés dans le primaire, quel que soit l'âge, rapportés à la population d'âge officiellement primaire -- peut dépasser 100% (redoublants, entrées tardives).",%,education,pays,taux_scolarisation_brut_primaire_pays,true
taux_scolarisation_net_primaire,"Taux net de scolarisation, primaire","Effectifs scolarisés dans le primaire ayant l'âge officiel du primaire, rapportés à la population de cet âge -- ne peut pas dépasser 100%.",%,education,pays,taux_scolarisation_net_primaire_pays,true
taux_scolarisation_brut_secondaire_1er_cycle,"Taux brut de scolarisation, premier cycle du secondaire","Effectifs scolarisés dans le premier cycle du secondaire, quel que soit l'âge, rapportés à la population d'âge officiel correspondant.",%,education,pays,taux_scolarisation_brut_secondaire_1er_cycle_pays,true
taux_scolarisation_brut_secondaire_2nd_cycle,"Taux brut de scolarisation, second cycle du secondaire","Effectifs scolarisés dans le second cycle du secondaire, quel que soit l'âge, rapportés à la population d'âge officiel correspondant.",%,education,pays,taux_scolarisation_brut_secondaire_2nd_cycle_pays,true
taux_scolarisation_brut_superieur,"Taux brut de scolarisation, enseignement supérieur","Effectifs inscrits dans l'enseignement supérieur (tertiaire), quel que soit l'âge, rapportés à la population ayant l'âge théorique de sortie du secondaire.",%,education,pays,taux_scolarisation_brut_superieur_pays,true
taux_redoublement_primaire,"Taux de redoublement, primaire","Part des élèves du primaire, toutes années confondues, inscrits dans la même année scolaire que l'année précédente.",%,education,pays,taux_redoublement_primaire_pays,false
taux_survie_primaire,Taux de survie jusqu'à la dernière année du primaire,"Part d'une cohorte d'élèves entrés en première année du primaire qui atteignent la dernière année du cycle, avec ou sans redoublement.",%,education,pays,taux_survie_primaire_pays,true
taux_non_scolarisation_primaire,"Taux de non-scolarisation, âge du primaire",Part des enfants ayant l'âge officiel du primaire qui ne sont scolarisés à aucun niveau.,%,education,pays,taux_non_scolarisation_primaire_pays,false
taux_non_scolarisation_secondaire_1er_cycle,"Taux de non-scolarisation, âge du premier cycle du secondaire",Part des adolescents ayant l'âge officiel du premier cycle du secondaire qui ne sont scolarisés à aucun niveau.,%,education,pays,taux_non_scolarisation_secondaire_1er_cycle_pays,false
taux_non_scolarisation_secondaire_2nd_cycle,"Taux de non-scolarisation, âge du second cycle du secondaire",Part des jeunes ayant l'âge officiel du second cycle du secondaire qui ne sont scolarisés à aucun niveau.,%,education,pays,taux_non_scolarisation_secondaire_2nd_cycle_pays,false
taux_alphabetisation_jeunes,Taux d'alphabétisation des jeunes (15-24 ans),Part de la population âgée de 15 à 24 ans capable de lire et écrire un énoncé simple sur la vie courante.,%,education,pays,taux_alphabetisation_jeunes_pays,true
taux_alphabetisation_adultes,Taux d'alphabétisation des adultes (15 ans et plus),Part de la population âgée de 15 ans et plus capable de lire et écrire un énoncé simple sur la vie courante.,%,education,pays,taux_alphabetisation_adultes_pays,true
prix_ihpc_alimentation,IHPC — Produits alimentaires et boissons non alcoolisées,"Indice des prix à la consommation pour la fonction COICOP 'Produits alimentaires et boissons non alcoolisées', base 2019.",indice,prix,pays,prix_ihpc_categorie_pays,
prix_ihpc_transports,IHPC — Transports,"Indice des prix à la consommation pour la fonction COICOP 'Transports', base 2019.",indice,prix,pays,prix_ihpc_categorie_pays,
prix_ihpc_sante,IHPC — Santé,"Indice des prix à la consommation pour la fonction COICOP 'Santé', base 2019.",indice,prix,pays,prix_ihpc_categorie_pays,
taux_inflation,Taux d'inflation,Taux d'inflation publié par l'ICASEES dans le même fichier tableau de bord que l'IHPC -- voir docs/verification-debt.md pour une réserve sur sa méthodologie exacte.,%,prix,pays,taux_inflation_pays,false
taux_utilisation_internet,Utilisation d'Internet,Part de la population utilisant Internet.,%,infrastructures,pays,infrastructure_taux_pays,true
abonnements_mobiles,Abonnements mobiles,Nombre d'abonnements de téléphonie mobile pour 100 habitants -- peut dépasser 100 (abonnements multiples par personne).,pour 100 habitants,infrastructures,pays,infrastructure_taux_pays,true
acces_eau_potable_base,Accès à l'eau potable,Part de la population utilisant au moins un service de base d'eau potable.,%,infrastructures,pays,infrastructure_taux_pays,true
acces_assainissement_base,Accès à l'assainissement,Part de la population utilisant au moins un service de base d'assainissement.,%,infrastructures,pays,infrastructure_taux_pays,true
taux_croissance_population,Croissance de la population,Taux de croissance annuel de la population.,%,population,pays,population_taux_pays,
taux_urbanisation,Population urbaine,Part de la population vivant en zone urbaine.,%,population,pays,population_taux_pays,
taux_dependance_demographique,Taux de dépendance démographique,"Population de moins de 15 ans et de 65 ans et plus, rapportée à la population de 15-64 ans -- peut dépasser 100.",%,population,pays,population_taux_pays,
