source_id,producer,dataset_name,url,licence,licence_notes,geography_vintage,update_cadence,retrieved_at,staleness_thresholds,authority_rank,access_notes
cod-ab-caf,"OCHA CAR (contributor); dataset_source per HDX metadata: ICASEES; QA by OCHA FIS / HDX","Central African Republic - Subnational Administrative Boundaries (COD-AB), version 02",https://data.humdata.org/dataset/cod-ab-caf,CC BY-IGO,"HDX metadata flags isopen:false. Caveat: awaiting ICASEES validation; Humanitarian Coordinator granted special approval for humanitarian-purposes-only use (2025); mandatory UN/CAR-neutrality disclaimer if shared or made public. Not yet resolved for this project's public redistribution — see docs/verification-debt.md.","v02; valid_on 2024-05-30; reviewed 2026-03-06; 20 préfectures / 85 sous-préfectures; no commune/localité layer in this version",~365 days (HDX data_update_frequency),2026-09-05,,n/a (geography/reference source; not an indicator value source),"Downloaded directly: gazetteer XLSX + GeoJSON from HDX resource URLs (Shapefile/Geodatabase also available). Snapshot: raw/cod-ab-caf/2026-09-05/."
wikipedia-fr-prefectures,Wikipédia (communauté),Préfectures de la République centrafricaine (article),https://fr.wikipedia.org/wiki/Pr%C3%A9fectures_de_la_R%C3%A9publique_centrafricaine,CC BY-SA,"Not a primary administrative source — used only to cross-check name spelling variants and chef-lieu pairings, not as an authority for the crosswalk itself.","current article state as of 2026-09-05 fetch; attributes the 20-préfecture structure to 'la loi de 2020-2021'",continuously editable,2026-09-05,,n/a (used for name cross-checking only),Fetched via WebFetch to corroborate the 2020 reform and record alternate name spellings.
citypopulation-de-caf,"citypopulation.de (relaying ICASEES data, per the page's own stated data source)","Central African Republic: Administrative Division (Prefectures and Sub-Prefectures)",https://www.citypopulation.de/en/centralafrica/admin/,"unknown — no licence stated on site","citypopulation.de itself states no licence; it names ICASEES (CC BY 4.0) as its data source but the compiled table's own redistribution terms aren't verified. Page states its 2021 sub-prefecture figures are 'result of an incomplete digital mapping done in preparation of the next population census' — used here as a cross-check, not as the default source for entities.","2003 census column + 2021 estimate column; site itself flags the 2021 admin breakdown as incomplete",unknown,2026-09-09,,"2003 column: recensement (higher authority); 2021 column: estimation explicitly flagged incomplete by the source (lower authority)","Fetched via WebFetch + raw HTML snapshot (raw/citypopulation-de-caf/2026-09-09/admin_index.html); population figures transcribed to raw/citypopulation-de-caf/2026-09-09/admin_table_transcribed.csv, not yet parsed programmatically from the HTML."
britannica-car-history,Encyclopædia Britannica,History of Central African Republic (article),https://www.britannica.com/place/Central-African-Republic/Independence,"unknown — encyclopedia article, not open-licensed data",Used only to confirm a single well-established historical fact (independence date) as a primary-ish tertiary reference; not used for anything contested like the administrative boundaries.,article as of 2026-09-11 fetch,continuously editable,2026-09-11,,n/a (single-fact confirmation only),Fetched via WebSearch to confirm CAR's independence date (13 August 1960) for the country entity's valid_from.
loi-21-001-2021,République Centrafricaine (Assemblée nationale / promulgation présidentielle),Loi n°21.001 du 21 janvier 2021 relative aux circonscriptions administratives,,unknown — primary legal text not directly located,"Full legal PDF/Journal Officiel text not yet fetched directly — cited and quoted via two independent secondary pages (limko.cm, and a makanisi.org page that returned 403) that both give the same figures: 7 régions, 20 préfectures, 85 sous-préfectures, 175 communes. This is the promulgated version, dated over a month after the 10 Dec 2020 adoption reported by Oubangui Médias/Xinhua (which said 84 sous-préfectures) — the number most likely changed between adoption and promulgation. Also states Bangui has 10 arrondissements (previously 8) — a third figure against ICASEES's own '9', separately unresolved.",promulgated 2021-01-21,"n/a (law, not updated)",2026-09-11,,national législation (highest tier in the authority ranking for administrative structure),"Two independent secondary citations found and one fetched/quoted directly (limko.cm); the actual Journal Officiel PDF was not located in this pass."
icasees-rgph4-provisional,ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales),"RGPH-4 — résultats provisoires (recensement)",,CC BY 4.0 (déclaré pour les données ICASEES en général — page primaire non localisée),"Chiffre national (6 656 269 ; 3 312 532 hommes / 3 343 737 femmes) repris de CLAUDE.md, le document de cadrage du projet, qui le compile depuis les communications publiques d'ICASEES d'août 2026. La page de résultats primaire n'a PAS été localisée indépendamment cette session malgré plusieurs tentatives (plusieurs URL icasees.org/rgph-4/* renvoient 404 ; le site présente aussi des URL de type spam à éviter). Voir docs/verification-debt.md.",dénombrement fin 2025 ; publication ~23 août 2026,décennal,2026-09-05,provisoire — non encore validé par la source elle-même,"recensement national (rang le plus élevé), bien que marqué provisoire/non validé par ICASEES.","Chaîne de provenance : ICASEES -> compilation dans CLAUDE.md -> ce projet. Pas de vérification directe à la source primaire cette session."
world-bank-wdi-population,World Bank (World Development Indicators),"Population, total (SP.POP.TOTL)",https://api.worldbank.org/v2/country/CAF/indicator/SP.POP.TOTL?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,"estimations annuelles, mi-année ; dernière mise à jour des métadonnées 2026-07-13",annuelle,2026-09-12,,"estimation modélisée internationale (rang le plus bas de l'échelle publiée dans CLAUDE.md, hors chiffre de portail sans source citée)","Source composite selon les métadonnées de l'indicateur : UN Population Division (World Population Prospects) et offices statistiques nationaux. Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification."
icasees-ihpc-dashboard,ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales),"Indice des Prix à la Consommation (IHPC) — Mensuel National, 2015-2026 (fichier tableau de bord)",https://www.icasees.org/edocman/ipc_ihpc/JD_ODP_IPC_Mensuel_National_RCA_ODP1.0.xlsx,CC BY 4.0,"Explicitly CC BY 4.0 per the file's own Métadonnées sheet — unlike COD-AB, no licence ambiguity here. One real nuance: the file's own Notes_Methodologiques sheet documents that values from 2015-01 to 2019-12 were reconciled onto the post-2020 base by whoever compiled this dashboard file ('à la demande de l'utilisateur'), using an official coefficient (4.12919) quoted from ICASEES's own bulletin warnings — transparent and internally verified (the note checks continuity at the Dec-2019/Jan-2020 boundary), but it is not clear whether this reconciliation itself carries the same institutional endorsement as the raw monthly bulletins. Raw pre-2020 values are preserved unmodified in the same file's Archive_Base1981_Brute sheet. See docs/verification-debt.md.","2015M1 to 2026M4 in the data columns; the file's own metadata sheet states coverage as '2015M1 à 2025M9', which is stale relative to the actual columns — use the data columns as ground truth.",monthly (per ICASEES's stated cadence; this specific dashboard file's own update frequency is unknown),2026-09-11,,national census > national survey > international modelled estimate > unattributed portal figure — this is a national statistical office's own published series with a licence and stated methodology; among the highest tier for a value source.,"Fetched via the ICASEES site's actualités/ihpc listing (icasees.org/index.php/actualites/ihpc), found the direct edocman file link, downloaded to raw/icasees-ihpc/2026-09-11/. Only the global index (IND1) used so far; 12 COICOP sub-categories and the published Inflation line (IND14) not yet ingested."
icasees-site,"ICASEES (Institut Centrafricain des Statistiques et des Etudes Economiques et Sociales)","icasees.org (site principal ; sous-répertoire rgph-4/ largement en 404 lors de cette passe)",https://icasees.org/,CC BY 4.0 (déclaré dans CLAUDE.md pour les données ICASEES en général ; non re-vérifié page par page ici),"Site principal fonctionnel et daté de façon cohérente avec CLAUDE.md (MICS7 lancée ~22 août 2026, aide-mémoire rebasage PIB ~7 août 2026). ATTENTION SÉCURITÉ : une recherche web a fait remonter une URL de spam de type casino sur ce domaine (paramètre ?prizes%2F...) — évitée, non visitée. Le sous-répertoire /rgph-4/ a renvoyé 404 sur plusieurs URLs testées le 2026-09-11 ; les résultats provisoires du RGPH-4 et une éventuelle page de cartographie n'ont pas été localisés dans cette passe malgré plusieurs tentatives.","site vivant ; contenu RGPH-4 spécifique non localisé au 2026-09-11",unknown,2026-09-11,,voir quality_flag par observation,"Utilisé pour une citation précise et vérifiée : un article RGPH-4 (icasees.org/index.php/actualites/316-...) décrit Bangui comme neuf (9) arrondissements plus les communes de Bimbo et Bégoua — voir docs/verification-debt.md, désaccord Bangui."
minurbanisme-rca-regions,Ministère de l'Urbanisme (RCA),"7 pages régionales (minurbanisme-rca.org/1-plateaux/ … /7-bas-oubangui/)",https://www.minurbanisme-rca.org/,"unknown — government site, no licence stated","Government site with no stated content licence found. Ministry administrative-directorate pages, not a law/decree. Used to map the 7 RGPH-4 régions onto the 20 préfectures — recoupé only by the fact that the 7 lists sum to exactly 20 préfectures with no gaps or overlap, not by a second independent source yet. See docs/verification-debt.md.","current site content as of 2026-09-05 fetch",unknown,2026-09-05,,n/a (used for régions-to-préfectures mapping only),Fetched 7 individual région pages via WebFetch and quoted their préfecture lists directly.
